abbor,/ɑ b ɔ ɾ/
arvelig,/ˈ ɑ ɾ ʋ ə l ɪ/
arvelige,/ˈ ɑ ɾ ʋ ə l ɪə/
arveligere,/ˈ ɑ ɾ ʋ ə l ɪ ɾ ə/
arveligst,/ˈ ɑ ɾ ʋ ə l ɪ k s t/
arveligste,/ˈ ɑ ɾ ʋ ə l ɪ k s t ə/
asen,/ˈ ɑː s n̩/
asfaltere,/ɑ s f ɑ l ˈ t e ː ɾ ə/
asjett,/ɑː ˈ ʂ ɛ t/
askebeger,/ɑ s k ə b e ː g ə ɾ/
asosial,/ˈ ɑː s ʊ s ɪ ɑː l/
asparges,/ɑ ˈ s p ɑ ɾ g ɛ s/
aspirere,/ɑ s p ɪ ˈ ɾ e ː ɾ ə/
aspirin,/ɑ s p ɪ ˈ ɾ iː n/
assimilere,/ɑ s ɪ m ɪ ˈ l e ː ɾ ə/
assistere,/ɑ s ɪ ˈ s t e ː ɾ ə/
assosiere,/ɑ s ʊ s ɪ ˈ e ː ɾ ə/
assurere,/ɑ s ʉ ˈ ɾ e ː ɾ ə/
astma,/ˈ ɑ s m ɑ/
astmatisk,/ɑ s ˈ m ɑː t ɪ s k/
astrologisk,/ɑ s t ɾ ʊ ˈ l o ː g ɪ s k/
astronomisk,/ɑ s t ɾ ʊ ˈ n uː m ɪ s k/
at,/ɑ t/
atal,/ˈ ɑː t ɑː l/
ateistisk,/ɑ t ə ˈ ɪ s t ɪ s k/
atlantisk,/ɑ t ˈ l ɑ n t ɪ s k/
Atle,/ˈ ɑ t l ə/
atletisk,/ɑ t ˈ l e ː t ɪ s k/
atrium,/ˈ ɑ t ɾ ɪ ʉ m/
atskillig,/ɑ t ˈ ʂ ɪ l ɪ/
atskillige,/ɑ t ˈ ʂ ɪ l ɪə/
atskilligere,/ɑ t ˈ ʂ ɪ l ɪ ɾ ə/
atskilligst,/ɑ t ˈ ʂ ɪ l ɪ k s t/
atskilligste,/ɑ t ˈ ʂ ɪ l ɪ k s t ə/
atskilt,/ˈ ɑː d ʂ ɪ l t/
atten,/ɑ t ə n/
attest,/ɑ ˈ t ɛ s t/
attestere,/ɑ t ə ˈ s t e ː ɾ ə/
attraktiv,/ˈ ɑ t ɾ ɑ k t iː ʋ/
attrå,/ˈ ɑ t ɾ ɔ/
audiovisuell,/ˈ æʉ d ɪ ʊ ʋ ɪ s ʉ ɛ l/
august,/æʉ ˈ g ʉ s t/
australsk,/æʉ ˈ s t ɾ ɑː l s k/
autentisk,/æʉ ˈ t ɛ n t ɪ s k/
automatisk,/æʉ t ʊ ˈ m ɑː t ɪ s k/
automatisk dør,/æʉ t ʊ ˈ m ɑː t ɪ s k d ø ː ɾ/
autorisere,/æʉ t ʊ ɾ ɪ ˈ s e ː ɾ ə/
autoritær,/æʉ t ʊ ɾ ɪ ˈ t æ ː ɾ/
av,/ɑː ʋ/
av og til,/ɑ ʋ ɔ t ɪ l/
avansere,/ɑ ʋ ɑ ŋ ˈ s e ː ɾ ə/
avbestille,/ˈ ɑː ʋ b ɛ s t ɪ l ə/
avbilde,/ˈ ɑ ʋ b ɪ l d ə/
avblåse,/ˈ ɑː ʋ b l o ː s ə/
avbryte,/ˈ ɑː ʋ b ɾ y ː t ə/
avdekke,/ˈ ɑː ʋ d ɛ k ə/
avduke,/ˈ ɑː ʋ d ʉ ː k ə/
avdød,/ˈ ɑː ʋ d ø ː d/
avertere,/ɑ ʋ æ ˈ ʈ e ː ɾ ə/
avfall,/ɑː ʋ f ɑ l/
avføring,/ˈ ɑː ʋ f ø ː ɾ ɪ ŋ/
avgang,/ɑː ʋ g ɑ ŋ/
avgifter,/ɑː ʋ j ɪ f t ə ɾ/
avgjøre,/ˈ ɑː ʋ j ø ː ɾ ə/
avgjørelse,/ˈ ɑː ʋ j ø ː ɾ ə l s ə/
avgjørende,/ˈ ɑː ʋ j ø ː ɾ ə n ə/
avgrense,/ˈ ɑː ʋ g ɾ ɛ n s ə/
avhengig,/ˈ ɑː ʋ h ɛ ŋ ɪ/
avhengige,/ˈ ɑː ʋ h ɛ ŋ ɪə/
avhengigere,/ˈ ɑː ʋ h ɛ ŋ ɪ ɾ ə/
avhengigst,/ˈ ɑː ʋ h ɛ ŋ ɪ k s t/
avhengigste,/ˈ ɑː ʋ h ɛ ŋ ɪ k s t ə/
avholdt,/ˈ ɑː ʋ h ɔ l t/
avhøre,/ˈ ɑː ʋ h ø ː ɾ ə/
avis,/ɑ ˈ ʋ iː s/
aviskiosk,/ɑ ʋ iː s ç ɪ ɔ s k/
avkjøle,/ˈ ɑː ʋ ç ø ː l ə/
avkledd,/ˈ ɑː ʋ k l ɛ d/
avkrefte,/ˈ ɑː ʋ k ɾ ɛ f t ə/
avlang,/ˈ ɑː ʋ l ɑ ŋ/
avle,/ˈ ɑ ʋ l ə/
avlede,/ˈ ɑː ʋ l e ː d ə/
avlegge,/ˈ ɑː ʋ l æɪ ə/
avleire,/ˈ ɑː ʋ l æɪ ɾ ə/
avlevere,/ˈ ɑː ʋ l ə ʋ e ː ɾ ə/
avlive,/ˈ ɑː ʋ l iː ʋ ə/
avlyse,/ˈ ɑː ʋ l y ː s ə/
avløse,/ˈ ɑː ʋ l ø ː s ə/
avmålt,/ˈ ɑː ʋ m o ː l t/
avreise,/ˈ ɑː ʋ ɾ æɪ s ə/
avrunde,/ˈ ɑː ʋ ɾ ʉ n ə/
avse,/ˈ ɑː ʋ s e ː/
avsender,/ɑː ʋ s ɛ n ə ɾ/
avsi,/ˈ ɑː ʋ s iː/
avsides,/ˈ ɑː ʋ s iː d ə s/
avsidesliggende,/ˈ ɑː ʋ s iː d ə s l ɪ g ə n ə/
avsindig,/ɑ ʋ ˈ s ɪ n ɪ/
avsindige,/ɑ ʋ ˈ s ɪ n ɪə/
avsindigere,/ɑ ʋ ˈ s ɪ n ɪ ɾ ə/
avsindigst,/ɑ ʋ ˈ s ɪ n ɪ k s t/
avsindigste,/ɑ ʋ ˈ s ɪ n ɪ k s t ə/
avskaffe,/ˈ ɑː ʋ s k ɑ f ə/
avskjedige,/ˈ ɑː ʋ ʂ e ː d ɪ g ə/
avskjære,/ˈ ɑː ʋ ʂ æ ː ɾ ə/
avskrekke,/ˈ ɑː ʋ s k ɾ ɛ k ə/
avskrekkende,/ˈ ɑː ʋ s k ɾ ɛ k ə n ə/
avskrive,/ˈ ɑː ʋ s k ɾ iː ʋ ə/
avsky,/ˈ ɑː ʋ ʂ y ː/
avskyelig,/ɑ ʋ ˈ ʂ y ː ə l ɪ/
avskyelige,/ɑ ʋ ˈ ʂ y ː ə l ɪə/
avskyeligere,/ɑ ʋ ˈ ʂ y ː ə l ɪ ɾ ə/
avskyeligst,/ɑ ʋ ˈ ʂ y ː ə l ɪ k s t/
avskyeligste,/ɑ ʋ ˈ ʂ y ː ə l ɪ k s t ə/
avslappa,/ˈ ɑː ʋ ʂ ɭ ɑ p ə t/
avslappet,/ˈ ɑː ʋ ʂ ɭ ɑ p ə t/
avslutte,/ˈ ɑː ʋ ʂ ɭ ʉ t ə/
avsløre,/ˈ ɑː ʋ ʂ ɭ ø ː ɾ ə/
avslå,/ˈ ɑː ʋ ʂ ɭ o ː/
avstand,/ˈ ɑː ʋ s t ɑ n/
avstå,/ˈ ɑː ʋ s t o ː/
avtale,/ˈ ɑː ʋ t ɑː l ə/
avverge,/ˈ ɑː ʋ æ ɾ g ə/
avvikle,/ˈ ɑː ʋ ɪ k l ə/
avvise,/ˈ ɑː ʋ iː s ə/
avvisende,/ˈ ɑː ʋ iː s ə n ə/
avvæpne,/ˈ ɑː ʋ e ː p n ə/
ba,/b ɑː/
baby,/ˈ b æɪ b i/
bacon,/ˈ b æɪ k ə n/
bad,"/b ɑː/, /b ɑː d/"
bade,/ˈ b ɑː d ə/
badehette,/b ɑː d ə h ɛ t ə/
badekåpe,/b ɑː d ə k o ː p ə/
badering,/b ɑː d ə ɾ ɪ ŋ/
badevakt,/b ɑː d ə ʋ ɑ k t/
badminton,/ˈ b æ d m ɪ n t ə n/
badstue,/ˈ b ɑ s t ʉ/
bagasje,/b ɑ ˈ g ɑː ʂ ə/
bagasjeluke,/b ɑ ˈ g ɑː ʂ ə l ʉ ː k ə/
bagasjerom,/b ɑ ˈ g ɑː ʂ ə ɾ ʊ m/
bagatellisere,/b ɑ g ɑ t ə l ɪ ˈ s e ː ɾ ə/
bak,/b ɑː k/
bake,/ˈ b ɑː k ə/
baker,/ˈ b ɑː k ə ɾ/
bakeri,/b ɑː k ə ˈ ɾ iː/
bakk,/b ɑ k/
bakke,/ˈ b ɑ k ə/
bakken,/ˈ b ɑ k n̩/
baklengs,/b ɑː k l ɛ ŋ s/
baklys,/b ɑː k l y ː s/
bakse,/ˈ b ɑ k s ə/
baksnakke,/ˈ b ɑː k s n ɑ k ə/
bakt,/b ɑ k t/
bakte,/ˈ b ɑ k t ə/
bakteriell,/b ɑ k t ə ɾ ɪ ˈ ɛ l/
bakvaske,/ˈ b ɑː k ʋ ɑ s k ə/
bakvendt,/ˈ b ɑː k ʋ ə n t/
bakverk,/b ɑː k ʋ æ ɾ k/
balansere,/b ɑ l ɑ ŋ ˈ s e ː ɾ ə/
balansert,/b ɑ l ɑ ŋ ˈ s e ː ʈ/
bale,/ˈ b ɑː l ə/
balkong,/b ɑ l ˈ k ɔ ŋ/
ball,/b ɑ l/
balle,/ˈ b ɑ l ə/
ballett,/b ɑ ˈ l ɛ t/
ballkjole,/ˈ b ɑ l ç uː l ə/
ballsal,/ˈ b ɑ l s ɑː l/
ballspill,/ˈ b ɑ l s p ɪ l/
balltrening,/ˈ b ɑ l t ɾ e ː n ɪ ŋ/
balsamere,/b ɑ l s ɑ ˈ m e ː ɾ ə/
banal,/b ɑ ˈ n ɑː l/
banan,/b ɑ ˈ n ɑː n/
band,/b æ n/
bandasjere,/b ɑ n ɑ ˈ ʂ e ː ɾ ə/
bande,/ˈ b ɑ n ə/
bane,/ˈ b ɑː n ə/
banebrytende,/ˈ b ɑː n ə b ɾ y ː t ə n ə/
bank,/b ɑ ŋ k/
banke,/ˈ b ɑ ŋ k ə/
banne,/ˈ b ɑ n ə/
banner,/ˈ b ɑ n ə ɾ/
bannlyse,/ˈ b ɑ n l y ː s ə/
bar,/b ɑː ɾ/
barbarisk,/b ɑ ɾ ˈ b ɑː ɾ ɪ s k/
barbent,/ˈ b ɑː ɾ b e ː n t/
barberblad,/b ɑ ɾ ˈ b e ː ɾ b l ɑː/
barbere,/b ɑ ɾ ˈ b e ː ɾ ə/
barbervann,/b ɑ ɾ ˈ b e ː ɾ ʋ ɑ n/
bardus,/b ɑ ˈ ɖ ʉ ː s/
bare,/ˈ b ɑː ɾ ə/
baren,/b ɑː ɳ/
barer,/ˈ b ɑː ɾ ə ɾ/
barn,/b ɑː ɳ/
barna,/ˈ b ɑː ɳ ɑ/
barnebarn,/b ɑː ɳ ə b ɑː ɳ/
barnebasseng,/b ɑː ɳ ə b ɑ s ɛ ŋ/
barnebillett,/b ɑː ɳ ə b ɪ l ɛ t/
barnehage,/ˈ b ɑː ɳ ə h ɑː g ə/
barneheis,/b ɑː ɳ ə h æɪ s/
barnelege,/b ɑː ɳ ə l e ː g ə/
barnemat,/b ɑː ɳ ə m ɑː t/
barnemoderasjon,/b ɑː ɳ ə m ʊ d ə ɾ ɑ ʂ uː n/
barnepass,/b ɑː ɳ ə p ɑ s/
barneporsjon,/b ɑː ɳ ə p ʊ ʂ uː n/
barneseng,/b ɑː ɳ ə s ɛ ŋ/
barnesete,/b ɑː ɳ ə s e ː t ə/
barnesjukdom,/b ɑː ɳ ə ʂ ʉ ː k d ʊ m/
barnevakt,/ˈ b ɑː ɳ ə ʋ ɑ k t/
barokk,/b ɑ ˈ ɾ ɔ k/
baron,/b ɑ ˈ ɾ uː n/
baroni,/b ɑ ɾ ʊ ˈ n iː/
barrikadere,/b ɑ ɾ ɪ k ɑ ˈ d e ː ɾ ə/
barsk,/b ɑ ʂ k/
bart,/b ɑ ʈ/
barten,/b ɑ ʈ ɳ/
baryton,/ˈ b ɑ ɾ ɪ t ɔ n/
base,/ˈ b ɑː s ə/
basehopping,/b ɑ s ə h ɔ p ɪ ŋ/
basere,/b ɑ ˈ s e ː ɾ ə/
basilikum,/b ɑ ˈ s iː l ɪ k ʉ m/
basun,/b ɑ ˈ ʂ ʉ ː n/
batalje,/b ɑ ˈ t ɑ l j ə/
batteri,/b ɑ t ə ˈ ɾ iː/
be,/b e ː/
be noen om noe,/ˈ b e ː n uː ə n ʊ m n uː ə/
bearbeide,/ˈ b e ː ɑ ɾ b æɪ d ə/
bebo,/b ɛ ˈ b uː/
bebreide,/b ɛ ˈ b ɾ æɪ d ə/
bedagelig,/b ə ˈ d ɑː g ə l ɪ/
bedagelige,/b ə ˈ d ɑː g ə l ɪə/
bedageligere,/b ə ˈ d ɑː g ə l ɪ ɾ ə/
bedageligst,/b ə ˈ d ɑː g ə l ɪ k s t/
bedageligste,/b ə ˈ d ɑː g ə l ɪ k s t ə/
bederva,/b ə ˈ d æ ɾ ʋ ə t/
bedervet,/b ə ˈ d æ ɾ ʋ ə t/
bedra,/b ə ˈ d ɾ ɑː/
bedrag,/b ə ˈ d ɾ ɑː g/
bedrageri,/b ɛ d ɾ ɑː g ə ˈ ɾ iː/
