abbor  aa b ao r
asfaltere  aa s f aa l t ee r ax
asjett  aa sz eh t
askebeger  aa s k ax b ee g ax r
asosial  aa s uh s ih aa l
asparges  aa s p aa r g eh s
aspirere  aa s p ih r ee r ax
aspirin  aa s p ih r iy n
assimilere  aa s ih m ih l ee r ax
assistere  aa s ih s t ee r ax
assosiere  aa s uh s ih ee r ax
assurere  aa s uh r ee r ax
astma  aa s m aa
astmatisk  aa s m aa t ih s k
astrologisk  aa s t r uh l oo g ih s k
astronomisk  aa s t r uh n uu m ih s k
at  aa t
atal  aa t aa l
ateistisk  aa t ax ih s t ih s k
atlantisk  aa t l aa n t ih s k
Atle  aa t l ax
atletisk  aa t l ee t ih s k
atrium  aa t r ih uh m
atskillig  aa t sz ih l ih
atskillige  aa t sz ih l ih ax
atskilligere  aa t sz ih l ih r ax
atskilligst  aa t sz ih l ih k s t
atskilligste  aa t sz ih l ih k s t ax
atskilt  aa d sz ih l t
atten  aa t ax n
attest  aa t eh s t
attestere  aa t ax s t ee r ax
attraktiv  aa t r aa k t iy v
attrå  aa t r ao
audiovisuell  aw d ih uh v ih s uh eh l
august  aw g uh s t
australsk  aw s t r aa l s k
autentisk  aw t eh n t ih s k
automatisk  aw t uh m aa t ih s k
automatisk dør  aw t uh m aa t ih s k d oeh r
autorisere  aw t uh r ih s ee r ax
autoritær  aw t uh r ih t ae r
av  aa v
av og t il  aa v ao t ih l
avansere  aa v aa ng s ee r ax
avbestille  aa v b eh s t ih l ax
avbilde  aa v b ih l d ax
avblåse  aa v b l oo s ax
avbryte  aa v b r ueh t ax
avdekke  aa v d eh k ax
avduke  aa v d uh k ax
avdød  aa v d oeh d
avertere  aa v ae t ee r ax
avfall  aa v f aa l
avføring  aa v f oeh r ih ng
avgang  aa v g aa ng
avgifter  aa v j ih f t ax r
avgjøre  aa v j oeh r ax
avgjørelse  aa v j oeh r ax l s ax
avgjørende  aa v j oeh r ax n ax
avgrense  aa v g r eh n s ax
avhengig  aa v hh eh ng ih
avhengige  aa v hh eh ng ih ax
avhengigere  aa v hh eh ng ih r ax
avhengigst  aa v hh eh ng ih k s t
avhengigste  aa v hh eh ng ih k s t ax
avholdt  aa v hh ao l t
avhøre  aa v hh oeh r ax
avis  aa v iy s
aviskiosk  aa v iy s xh ih ao s k
avkjøle  aa v xh oeh l ax
avkledd  aa v k l eh d
avkrefte  aa v k r eh f t ax
avlang  aa v l aa ng
avle  aa v l ax
avlede  aa v l ee d ax
avlegge  aa v l ay ax
avleire  aa v l ay r ax
avlevere  aa v l ax v ee r ax
avlive  aa v l iy v ax
avlyse  aa v l ueh s ax
avløse  aa v l oeh s ax
avmålt  aa v m oo l t
avreise  aa v r ay s ax
avrunde  aa v r uh n ax
avse  aa v s ee
avsender  aa v s eh n ax r
avsi  aa v s iy
avsides  aa v s iy d ax s
avsidesliggende  aa v s iy d ax s l ih g ax n ax
avsindig  aa v s ih n ih
avsindige  aa v s ih n ih ax
avsindigere  aa v s ih n ih r ax
avsindigst  aa v s ih n ih k s t
avsindigste  aa v s ih n ih k s t ax
avskaffe  aa v s k aa f ax
avskjedige  aa v sz ee d ih g ax
avskjære  aa v sz ae r ax
avskrekke  aa v s k r eh k ax
avskrekkende  aa v s k r eh k ax n ax
avskrive  aa v s k r iy v ax
avsky  aa v sz ueh
avskyelig  aa v sz ueh ax l ih
avskyelige  aa v sz ueh ax l ih ax
avskyeligere  aa v sz ueh ax l ih r ax
avskyeligst  aa v sz ueh ax l ih k s t
avskyeligste  aa v sz ueh ax l ih k s t ax
avslappa  aa v sz l aa p ax t
avslappet  aa v sz l aa p ax t
avslutte  aa v sz l uh t ax
avsløre  aa v sz l oeh r ax
avslå  aa v sz l oo
avstand  aa v s t aa n
avstå  aa v s t oo
avtale  aa v t aa l ax
avverge  aa v ae r g ax
avvikle  aa v ih k l ax
avvise  aa v iy s ax
avvisende  aa v iy s ax n ax
avvæpne  aa v ee p n ax
ba  b aa
baby  b ay b iy
bacon  b ay k ax n
bad  b aa d
bade  b aa d ax
badehette  b aa d ax hh eh t ax
badekåpe  b aa d ax k oo p ax
badering  b aa d ax r ih ng
badevakt  b aa d ax v aa k t
badminton  b ae d m ih n t ax n
badstue  b aa s t uh
bagasje  b aa g aa sz ax
bagasjeluke  b aa g aa sz ax l uh k ax
bagasjerom  b aa g aa sz ax r uh m
bagatellisere  b aa g aa t ax l ih s ee r ax
bak  b aa k
bake  b aa k ax
baker  b aa k ax r
bakeri  b aa k ax r iy
bakk  b aa k
bakke  b aa k ax
bakken  b aa k ax n
baklengs  b aa k l eh ng s
baklys  b aa k l ueh s
bakse  b aa k s ax
baksnakke  b aa k s n aa k ax
bakt  b aa k t
bakte  b aa k t ax
bakteriell  b aa k t ax r ih eh l
bakvaske  b aa k v aa s k ax
bakvendt  b aa k v ax n t
bakverk  b aa k v ae r k
balansere  b aa l aa ng s ee r ax
balansert  b aa l aa ng s ee t
bale  b aa l ax
balkong  b aa l k ao ng
ball  b aa l
balle  b aa l ax
ballett  b aa l eh t
ballkjole  b aa l xh uu l ax
ballsal  b aa l s aa l
ballspill  b aa l s p ih l
balltrening  b aa l t r ee n ih ng
balsamere  b aa l s aa m ee r ax
banal  b aa n aa l
banan  b aa n aa n
band  b ae n
bandasjere  b aa n aa sz ee r ax
bande  b aa n ax
bane  b aa n ax
banebrytende  b aa n ax b r ueh t ax n ax
bank  b aa ng k
banke  b aa ng k ax
banne  b aa n ax
banner  b aa n ax r
bannlyse  b aa n l ueh s ax
bar  b aa r
barbarisk  b aa r b aa r ih s k
barbent  b aa r b ee n t
barberblad  b aa r b ee r b l aa
barbere  b aa r b ee r ax
barbervann  b aa r b ee r v aa n
bardus  b aa d uh s
bare  b aa r ax
baren  b aa ng
barer  b aa r ax r
barn  b aa ng
barna  b aa ng aa
barnebarn  b aa ng ax b aa ng
barnebasseng  b aa ng ax b aa s eh ng
barnebillett  b aa ng ax b ih l eh t
barnehage  b aa ng ax hh aa g ax
barneheis  b aa ng ax hh ay s
barnelege  b aa ng ax l ee g ax
barnemat  b aa ng ax m aa t
barnemoderasjon  b aa ng ax m uh d ax r aa sz uu n
barnepass  b aa ng ax p aa s
barneporsjon  b aa ng ax p uh sz uu n
barneseng  b aa ng ax s eh ng
barnesete  b aa ng ax s ee t ax
barnesjukdom  b aa ng ax sz uh k d uh m
barnevakt  b aa ng ax v aa k t
barokk  b aa r ao k
baron  b aa r uu n
baroni  b aa r uh n iy
barrikadere  b aa r ih k aa d ee r ax
barsk  b aa sz k
bart  b aa t
barten  b aa t ng
baryton  b aa r ih t ao n
base  b aa s ax
basehopping  b aa s ax hh ao p ih ng
basere  b aa s ee r ax
basilikum  b aa s iy l ih k uh m
basun  b aa sz uh n
batalje  b aa t aa l j ax
batteri  b aa t ax r iy
bearbeide  b ee aa r b ay d ax
bebo  b eh b uu
bebreide  b eh b r ay d ax
bedagelig  b ax d aa g ax l ih
bedagelige  b ax d aa g ax l ih ax
bedageligere  b ax d aa g ax l ih r ax
bedageligst  b ax d aa g ax l ih k s t
bedageligste  b ax d aa g ax l ih k s t ax
bederva  b ax d ae r v ax t
bedervet  b ax d ae r v ax t
bedra  b ax d r aa
bedrag  b ax d r aa g
bedrageri  b eh d r aa g ax r iy
bedre  b ee d r ax
bedrive  b ax d r iy v ax
bedrøvelig  b ax d r oeh v ax l ih
bedrøvelige  b ax d r oeh v ax l ih ax
bedrøveligere  b ax d r oeh v ax l ih r ax
bedrøveligst  b ax d r oeh v ax l ih k s t
bedrøveligste  b ax d r oeh v ax l ih k s t ax
bedugga  b ax d uh g ax t
bedugget  b ax d uh g ax t
bedømme  b ax d oe m ax
bedøve  b ax d oeh v ax
bedårende  b ax d oo r ax n ax
befale  b ax f aa l ee
befaring  b ax f aa r ih ng
befinne  b ax f ih n ax
befinne seg  b eh f ih n ax s ae iy
befolke  b ax f ao l k ax
befordre  b ax f ao d r ax
befri  b ax f r iy
befrielse  b ax f r iy j ax l s ax
befrier  b ax f r iy j ax r
befrukte  b ax f r uh k t ax
begava  b ax g aa v ax t
begegnen  b ax g ee g n ax n
begeistret  b eh g ay s t r ax t
begeistret for  b eh g ay s t r ax t f ao r
begge  b ay ax
begi  b ax j iy
begjære  b ax j ae r ax
begjærlig  b ax j ae l ih
begjærlige  b ax j ae l ih ax
begjærligere  b ax j ae l ih r ax
begjærligst  b ax j ae l ih k s t
begjærligste  b ax j ae l ih k s t ax
begrave  b ax g r aa v ax
begrensa  b ax g r eh n s ax t
begrense  b ax g r eh n s ax
begrenset  b ax g r eh n s ax t
begrep  b ax g r ee p
begripe  b ax g r iy p ax
begripelig  b ax g r iy p ax l ih
begripelige  b ax g r iy p ax l ih ax
begripeligere  b ax g r iy p ax l ih r ax
begripeligst  b ax g r iy p ax l ih k s t
begripeligste  b ax g r iy p ax l ih k s t ax
begrunne  b ax g r uh n ax
begynne  b eh j ue n ax
begynnelse  b eh j ue n eh l s ax
begå  b eh g oo
behage  b ax hh aa g ax
behagelig  b ax hh aa g ax l ih
behagelige  b ax hh aa g ax l ih ax
behageligere  b ax hh aa g ax l ih r ax
behageligst  b ax hh aa g ax l ih k s t
behageligste  b ax hh aa g ax l ih k s t ax
behandle  b ax hh aa n l ax
beherska  b ax hh ae sz k aa
beherske  b ax hh ae sz k ax
behersket  b ax hh ae sz k ax t
beholde  b ax hh ao l ax
beholder  b eh hh ao l ax r
behørig  b ax hh oeh r ih
behørige  b ax hh oeh r ih ax
behørigere  b ax hh oeh r ih r ax
behørigst  b ax hh oeh r ih k s t
behørigste  b ax hh oeh r ih k s t ax
behøve  b ax hh oeh v ax
beige  b ee sz ax
bein  b ay n
beinhard  b ay n h aa r
beisk  b ay s k
beist  b ay s t
beite  b ay t ax
bekjempe  b ax xh eh m p ax
bekjenne  b ax xh eh n ax
bekjent  b ax xh eh n t
bekjente  b eh xh eh n t ax
bekjentskap  b eh xh eh n t s k aa p
bekken  b eh k ax n
bekkener  b eh k n ax r
bekkenet  b eh k n ax
beklage  b ax k l aa g ax
beklage seg over  b eh k l aa g ax s ay oo v ax r
beklagelig  b ax k l aa g ax l ih
beklagelige  b ax k l aa g ax l ih ax
beklageligere  b ax k l aa g ax l ih r ax
beklageligst  b ax k l aa g ax l ih k s t
beklageligste  b ax k l aa g ax l ih k s t ax
beklager  b ax k l aa g ax r
bekle  b ax k l ee
beklemt  b ax k l eh m t
bekmørk  b ee k m oe r k
bekrefte  b ax k r eh f t ax
bekvem  b ax k v eh m
bekymre  b ax xh ue m r ax
bekymre seg om  b eh xh ue m r ax s ay uh m
beleilig  b ax l ay l ih
beleilige  b ax l ay l ih ax
beleiligere  b ax l ay l ih r ax
beleiligst  b ax l ay l ih k s t
beleiligste  b ax l ay l ih k s t ax
beleire  b ax l ay r ax
belest  b ax l ee s t
belgier  b eh l g ih ax r
belgisk  b eh l g ih s k
belje  b ae l j ax
belme  b ae l m ax
belte  b eh l t ax
beltet  b eh l t ax
belyse  b ax l ueh s ax
belære  b ax l ae r ax
belønne  b ax l oe n ax
belønning  b eh l oe n ih ng
beløp  b eh l oeh p
bemerke  b ax m ae r k ax
bemerkelsesverdig  b ax m ae r k ax l s ax s v ae d ih
bemerkelsesverdige  b ax m ae r k ax l s ax s v ae d ih ax
bemerkelsesverdigere  b ax m ae r k ax l s ax s v ae d ih r ax
bemerkelsesverdigst  b ax m ae r k ax l s ax s v ae d ih k s t
bemerkelsesverdigste  b ax m ae r k ax l s ax s v ae d ih k s t ax
bemyndige  b ax m ue n ih g ax
ben  b ee n
bende  b eh n ax
benekte  b ax n eh k t ax
benk  b eh ng k
bensinkanne  b eh n s iy n k aa n ax
bensinpumpe  b eh n s iy n p uh m p ax
benytte  b ax n ue t ax
benåde  b ax n oo d ax
benådning  b ax n oo d n ih ng
beordre  b ax ao d r ax
ber  b ee r
beredt  b ax r eh t
beregne  b ax r ay n ax
beregning  b ax r ay n ih ng
berette  b ax r eh t ax
berge  b ae r g ax
bergningstjeneste  b eh r g ih ng s t j eh n ax s t ax
bergta  b ae r k t aa
bero  b ax r uu
berolige  b eh r uu l ih ax
beroligende middel  b eh r uu l ih g eh n ax m ih d ax l
berusa  b ax r uh s ax t
beruset  b ax r uh s ax t
berykta  b ax r ue k t ax t
beryktet  b ax r ue k t ax t
berømme  b ax r oe m ax
berømt  b ax r oe m t
berøre  b ax r oeh r ax
besatt  b ax s aa t
beseire  b ax s ay r ax
besette  b ax s eh t ax
besikte  b ax s ih k t ax
besiktigelse  b ax s ih k t ih g eh l s ax
besinne  b ax s ih n ax
besitte  b ax s ih t ax
beskatte  b ax s k aa t ax
beskjed  b ax sz ee
beskjeden  b ax sz ee d ax n
beskjeftige  b ax sz eh f t ih g ax
beskjære  b ax sz ae r ax
beskrive  b ax s k r iy v ax
beskytte  b ax sz ue t ax
beskyttelsesfaktor  b eh sz ue t eh l s ax s f aa k t uh r
beslaglegge  b ax sz l aa g l ax g ax
beslekta  b ax sz l eh k t ax t
beslektet  b ax sz l eh k t ax t
beslutte  b ax sz l uh t ax
besluttsom  b ax sz l uh t s ao m
best  b ee s t
bestandig  b ax s t aa n ih
bestandige  b ax s t aa n ih ax
bestandigere  b ax s t aa n ih r ax
bestandigst  b ax s t aa n ih k s t
bestandigste  b ax s t aa n ih k s t ax
beste  b eh s t ax
bestefar  b eh s t ax f aa r
bestemme  b ax s t eh m ax
bestemor  b eh s t ax m uu r
bestemt  b ax s t eh m t
bestialsk  b ax s t ih aa l s k
bestige  b ax s t iy g ax
bestikk  b ee s t ih k
bestikke  b ax s t ih k ax
bestille  b ax s t ih l ax
bestilling  b eh s t ih l ih ng
bestimmt  b ax sz t ih m t
bestride  b ax s t r iy d ax
bestøve  b ax s t oeh v ax
bestå  b ax s t oo
bestå av  b eh s t oo aa v
besvare  b ax s v aa r ax
besvime  b ax s v iy m ax
besvimelse  b eh s v iy m eh l s ax
besværlig  b ax s v ae l ih
besværlige  b ax s v ae l ih ax
besværligere  b ax s v ae l ih r ax
besværligst  b ax s v ae l ih k s t
besværligste  b ax s v ae l ih k s t ax
besynderlig  b ax s ue n ax l ih
besynderlige  b ax s ue n ax l ih ax
besynderligere  b ax s ue n ax l ih r ax
besynderligst  b ax s ue n ax l ih k s t
besynderligste  b ax s ue n ax l ih k s t ax
besøk  b ax s oeh k
besøke  b ax s oeh k ax
besøke noen  b ax s oeh k ax n uu ax n
besørge  b ax s oe r g ax
betale  b ax t aa l ax
betale kontant  b eh t aa l ax k uh n t aa n t
betale ut  b eh t aa l ax
betaling  b eh t aa l ih ng
betatt  b ax t aa t
betegne  b ax t ay n ax
betenkelig  b ax t eh ng k ax l ih
betenkelige  b ax t eh ng k ax l ih ax
betenkeligere  b ax t eh ng k ax l ih r ax
betenkeligst  b ax t eh ng k ax l ih k s t
betenkeligste  b ax t eh ng k ax l ih k s t ax
betennelse  b eh t eh n eh l s ax
betent  b ax t eh n t
betjene  b ax t j ee n ax
betjening  b eh t j ee n ih ng
Betlehem  b ee t l eh m
betone  b ax t uu n ax
betong  b eh t ao ng
betrakte  b ax t r aa k t ax
betraktelig  b ax t r aa k t ax l ih
betraktelige  b ax t r aa k t ax l ih ax
betrakteligere  b ax t r aa k t ax l ih r ax
betrakteligst  b ax t r aa k t ax l ih k s t
betrakteligste  b ax t r aa k t ax l ih k s t ax
betro  b ax t r uu
betryggende  b ax t r ue g ax n ax
betvile  b ax t v iy l ax
bety  b ax t ueh
betydelig  b ax t ueh d ax l ih
betydelige  b ax t ueh d ax l ih ax
betydeligere  b ax t ueh d ax l ih r ax
betydeligst  b ax t ueh d ax l ih k s t
betydeligste  b ax t ueh d ax l ih k s t ax
betydning  b eh t ueh d n ih ng
betydningsfull  b ax t ueh d n ih ng s f uh l
beundre  b ax uh n d r ax
bevare  b ax v aa r ax
beve  b ee v ax
bevege  b ax v ee g ax
bevegelig  b ax v ee g ax l ih
bevegelige  b ax v ee g ax l ih ax
bevegeligere  b ax v ee g ax l ih r ax
bevegeligst  b ax v ee g ax l ih k s t
bevegeligste  b ax v ee g ax l ih k s t ax
bevegelse  b ax v ee g ax l s ax
bevegelseshemmet  b eh v ee g eh l s ax s h eh m ax t
bever  b eh v ax r
bevilge  b ax v ih l g ax
bevise  b ax v iy s ax
bevisst  b ax v ih s t
bevisstløs  b ax v ih s t l oeh s
bevitne  b ax v ih t n ax
bevokte  b ax v ao k t ax
bibel  b iy b ax l
bibler  b iy b l ax r
bidra  b iy d r aa
bie  b iy ax
bifall  b ih f aa l
bifalle  b iy f aa l ax
biff  b ih f
bifil  b iy f iy l
bihulebetennelse  b iy hh uh l ax b eh t eh n eh l s ax
bikini  b ih k iy n iy
bikkje  b ih xh ax
bil  b iy l
bilbelte  b iy l b eh l t ax
bilde  b ih l d ax
bilene  b iy l n ax
biljekk  b iy l j eh k
billede  b ih l ax d ax
billedhogger  b ih l eh d h ao g ax r
billedhugger  b ih l ax d h uh g ax r
billedlig  b ih l ax d l ih
billedlige  b ih l ax d l ih ax
billedligere  b ih l ax d l ih r ax
billedligst  b ih l ax d l ih k s t
billedligste  b ih l ax d l ih k s t ax
billett  b ih l eh t
billettluke  b ih l eh t l uh k ax
billettmaskin  b ih l eh t m aa sz iy n
billettpris  b ih l eh t p r iy s
billig  b ih l ih
billige  b ih l ih ax
billigere  b ih l ih r ax
billigst  b ih l ih k s t
billigste  b ih l ih k s t ax
bilradio  b iy l r aa d ih u
bilsete for baby  b iy l s ee t ax f ao r b ay b iy
biltog  b iy l t ao g
binde  b ih n ax
biologisk  b ih uh l oo g ih s k
bis  b ih s
bisarr  b ih s aa r
bisette  b iy s eh t ax
bisk  b ih s k
bister  b ih s t ax r
bistå  b iy s t oo
bit  b iy t
bite  b iy t ax
biter  b iy t ax r
bitre  b ih t r ax
bitrere  b ih t r ax r ax
bitrest  b ih t r ax s t
bitter  b ih t ax r
bittert  b ih t ax t
bivåne  b iy v oo n ax
bjeffe  b j eh f ax
bjørk  b j oe r k
bla  b l aa
blafre  b l aa f r ax
blakk  b l aa k
blande  b l aa n ax
blandet  b l aa n ax t
blank  b l aa ng k
blankett  b l aa ng k eh t
blant  b l aa n t
blasfemisk  b l aa s f ee m ih s k
blass  b l aa s
bleie  b l ay ax r
blek  b l ee k
bleke  b l ee k ax
blemme  b l eh m ax
blende  b l eh n ax
bli  b l iy
bli enige om  b l ih ee n ih ax uh m
blid  b l iy
blikk  b l ih k
blikkstille  b l ih k s t ih l ax
blind  b l ih n
blinde  b l ih n ax
blindehund  b l ih n ax hh uh n
blindeskrift  b l ih n ax s k r ih f t
blindestokk  b l ih n ax s t ao k
blinke  b l ih ng k ax
blinklys  b l ih ng k l ueh s
blod  b l uu
blodig  b l uu d ih
blodige  b l uu d ih ax
blodigere  b l uu d ih r ax
blodigst  b l uu d ih k s t
blodigste  b l uu d ih k s t ax
blodtype  b l uu t ueh p ax
blodåre  b l uu oo r ax
blogg  b l ao g
blokk  b l ao k
blokkere  b l ao k ee r ax
blomkål  b l uh m k oo l
blomst  b l ao m s t
blomster  b l ao m s t ax r
blomsterbutikk  b l uh m s t ax r b uh t ih k
blomstre  b l ao m s t r ax
blomstrende  b l ao m s t r ax n ax
blond  b l ao n
blote  b l uu t ax
blott  b l ao t
blotte  b l ao t ax
blues  b l uh s
blunde  b l uh n ax
blunke  b l uh ng k ax
bluse  b l uh s ax
blusse  b l uh s ax
blyg  b l ueh g
blygsel  b l ue k s ax l
blære  b l ae r ax
